ID_Fa_D,phase_duration,ID_Sta,season
1.0,pre impianto,9.0,non definita
2.0,I anno allev.,3.0,anno
3.0,II anno allev.,3.0,anno
4.0,piena produzione,3.0,anno
5.0,1° taglio,8.0,breve
6.0,2° taglio o succ.,8.0,breve
7.0,un ciclo intero,8.0,breve
8.0,secondo raccolto,2.0,estate autunno
9.0,Primaverile-estiva <70 gg,5.0,primavera estate
10.0,Primaverile-estiva  70–100 gg,5.0,primavera estate
11.0,Primaverile-estiva  100–130 gg,5.0,primavera estate
12.0,Primaverile-estiva  >130 gg,5.0,primavera estate
13.0,Autunno-vernina <150 gg,1.0,autunno inverno primavera
14.0,Autunno-vernina >150 gg,1.0,autunno inverno primavera
15.0,pre impianto autunno,7.0,autunno inverno
16.0,1° anno - impianto a primavera,6.0,primavera estate autunno inverno
17.0,In produzione,4.0,anno
