id,group_progressive,crop_id,crop,n_fixation_pct,cycle_id,cultivation,N_limit,no_till_reduction,genus,species
1.0,1.0,A2,"Actinidia polpa verde frutti, legno e foglie",0.0,p,pieno campo,340.0,False,Actinidia,chinensis
2.0,2.0,Ab2,"Actinidia polpa gialla frutti, legno e foglie",0.0,p,pieno campo,340.0,False,Actinidia,chinensis
3.0,3.0,A4,"Albicocco media produzione frutti, legno e foglie",0.0,p,pieno campo,340.0,False,Prunus,armeniaca
4.0,4.0,A5,"Albicocco  alta produzione frutti, legno e foglie",0.0,p,pieno campo,340.0,False,Prunus,armeniaca
5.0,5.0,A6,"Altri fruttiferi frutti, legno e foglie",0.0,p,pieno campo,340.0,False,Prunus,armeniaca
6.0,6.0,A8,"Arancio frutti, legno e foglie",0.0,p,pieno campo,340.0,False,Citrus,sinensis
7.0,7.0,A10,Castagno solo frutti,0.0,p,pieno campo,340.0,False,Castanea,sativa
8.0,8.0,A12,"Ciliegio frutti, legno e foglie",0.0,p,pieno campo,340.0,False,Prunus,avium
9.0,9.0,A14,"Clementine frutti, legno e foglie",0.0,p,pieno campo,340.0,False,,
10.0,10.0,A15,"Cotogno (frutti, legno e foglie)",0.0,p,pieno campo,340.0,False,,
11.0,11.0,A16,"Fico frutti, legno e foglie",0.0,p,pieno campo,340.0,False,,
12.0,12.0,A17,"Kaki frutti, legno e foglie",0.0,p,pieno campo,340.0,False,Diospyros,kaki
13.0,13.0,A18,"Limone frutti, legno e foglie",0.0,p,pieno campo,340.0,False,,
14.0,14.0,A19,Luppolo (verde),0.0,p,pieno campo,340.0,False,,
15.0,15.0,A20,"Mandarino frutti, legno e foglie",0.0,p,pieno campo,340.0,False,,
16.0,16.0,A21,"Mandorlo frutti, legno e foglie",0.0,p,pieno campo,340.0,False,,
17.0,17.0,A22,"Melo frutti, legno e foglie",0.0,p,pieno campo,340.0,False,Malus,domestica
18.0,18.0,A23,Mirtillo,0.0,p,pieno campo,340.0,False,,
19.0,19.0,A24,"Nashi frutti, legno e foglie",0.0,p,pieno campo,340.0,False,,
20.0,20.0,A25,"Nespolo frutti, legno e foglie",0.0,p,pieno campo,340.0,False,,
21.0,21.0,A26,"Nettarine frutti, legno e foglie",0.0,p,pieno campo,340.0,False,,
22.0,22.0,A27,"Nocciolo frutti, legno e foglie",0.0,p,pieno campo,340.0,False,Corylus,avellana
23.0,23.0,A28,"Noce da frutto frutti, legno e foglie",0.0,p,pieno campo,340.0,False,Junglas,regia
24.0,24.0,A29,"Olivo olive, legno e foglie",0.0,p,pieno campo,340.0,False,Olea ,europaea
25.0,25.0,A30,"Pero media produzione frutti, legno e foglie",0.0,p,pieno campo,340.0,False,Pirus ,communis
26.0,26.0,A31,"Pero alta produzione frutti, legno e foglie",0.0,p,pieno campo,340.0,False,Pirus ,communis
27.0,27.0,A32,"Pesco frutti, legno e foglie",0.0,p,pieno campo,340.0,False,Prunus,persica
28.0,28.0,A33,Pioppo,0.0,p,pieno campo,340.0,False,,
29.0,29.0,A34,Pioppo da energia,0.0,p,pieno campo,340.0,False,,
30.0,30.0,A35,"Susino frutti, legno e foglie",0.0,p,pieno campo,340.0,False,Prunus,domestica
31.0,31.0,A36,"Uva da tavola grappoli, tralci e foglie",0.0,p,pieno campo,340.0,False,,
32.0,32.0,A37,"Vite per uva da vino (collina e montagna) grappoli, tralci e foglie ",0.0,p,pieno campo,340.0,False,Vitis,vinifera
33.0,33.0,A38,"Vite per uva da vino (pianura) grappoli, legno e foglie",0.0,p,pieno campo,340.0,False,Vitis,vinifera
34.0,1.0,E1,Altri cereali a paglia (pianta intera),0.0,m,pieno campo,340.0,True,,
35.0,2.0,E2,Avena,0.0,m,pieno campo,340.0,True,Avena,sativa
36.0,3.0,E3,Avena pianta intera,0.0,m,pieno campo,340.0,True,Avena,sativa
37.0,4.0,E4,Barbababietola da zucchero (pianta intera),0.0,m,pieno campo,340.0,False,Beta,vulgaris var. saccarifera
38.0,5.0,E5,Barbabietola da zucchero  (radici),0.0,m,pieno campo,340.0,False,Beta,vulgaris var. saccarifera
39.0,6.0,E6,Canapa da fibra,0.0,m,pieno campo,340.0,False,,
40.0,7.0,E7,Cavolo abissino,0.0,m,pieno campo,340.0,False,,
41.0,8.0,E8,Cece,50.0,m,pieno campo,70.0,False,Cicer,arietinum
42.0,9.0,E9,Colza,0.0,m,pieno campo,340.0,False,Brassica,napus
43.0,10.0,E10,Colza pianta intera,0.0,m,pieno campo,340.0,False,Brassica,napus
44.0,11.0,E11,Farro,0.0,m,pieno campo,340.0,True,Triticum,"monococcum, dicoccum, spelta"
45.0,12.0,E12,Farro (pianta intera),0.0,m,pieno campo,340.0,True,Triticum,"monococcum, dicoccum, spelta"
46.0,13.0,E13,Favino da granella,85.0,m,pieno campo,40.0,False,Vicia,faba
47.0,14.0,E14,Girasole (acheni),0.0,m,pieno campo,340.0,True,Heliantus,annuus
48.0,15.0,E15,Girasole (pianta intera),0.0,m,pieno campo,340.0,True,Heliantus,annuus
49.0,16.0,E16,Grano duro (granella),0.0,m,pieno campo,340.0,True,Triticum,durum
50.0,17.0,E17,Grano duro (pianta intera),0.0,m,pieno campo,340.0,True,Triticum,durum
51.0,18.0,E18,Grano tenero FP/FPS (granella),0.0,m,pieno campo,340.0,True,Triticum,aestivum
52.0,19.0,E19,Grano tenero FP/FPS (pianta intera),0.0,m,pieno campo,340.0,True,Triticum,aestivum
53.0,20.0,E20,Grano tenero biscottiero  (granella),0.0,m,pieno campo,340.0,True,Triticum,aestivum
54.0,21.0,E21,Grano tenero biscottiero pianta intera,0.0,m,pieno campo,340.0,True,Triticum,aestivum
55.0,22.0,E22,Grano tenero FF (granella),0.0,m,pieno campo,340.0,True,Triticum,aestivum
56.0,23.0,E23,Grano tenero FF (pianta intera),0.0,m,pieno campo,340.0,True,Triticum,aestivum
57.0,24.0,E24,Lenticchia,85.0,m,pieno campo,30.0,False,,
58.0,25.0,E25,Lino  fibra,0.0,m,pieno campo,340.0,False,,
59.0,26.0,E26,Lino granella,0.0,m,pieno campo,340.0,False,,
60.0,27.0,E27,Lupino,85.0,m,pieno campo,340.0,False,,
61.0,28.0,E28,Mais da granella 300-400 (granella),0.0,m,pieno campo,340.0,True,Zea,mays
62.0,29.0,E29,Mais da granella 300-400 (pianta intera),0.0,m,pieno campo,340.0,True,Zea,mays
63.0,30.0,E30,Mais da granella 500-700 (granella),0.0,m,pieno campo,340.0,True,Zea,mays
64.0,31.0,E31,Mais da granella 500-700 (pianta intera),0.0,m,pieno campo,340.0,True,Zea,mays
65.0,32.0,E32,Mais dolce  (spighe),0.0,m,pieno campo,340.0,False,Zea,mays
66.0,33.0,E33,Mais dolce (pianta intera),0.0,m,pieno campo,340.0,False,Zea,mays
67.0,34.0,E34,Mais trinciato classe 500,0.0,m,pieno campo,340.0,True,Zea,mays
68.0,35.0,E35,Mais trinciato classe 700,0.0,m,pieno campo,340.0,True,Zea,mays
69.0,36.0,E36,Orzo (granella),0.0,m,pieno campo,340.0,True,Hordeum,vulgare
70.0,37.0,E37,Orzo (pianta intera),0.0,m,pieno campo,340.0,True,Hordeum,vulgare
71.0,38.0,E38,Panico,0.0,m,pieno campo,340.0,False,,
72.0,39.0,E39,Pisello proteico,85.0,m,pieno campo,30.0,False,Pisum,sativum
73.0,40.0,E40,Pisello proteico + residui,85.0,m,pieno campo,30.0,False,Pisum,sativum
74.0,41.0,E41,Rafano (da sovescio),0.0,m,pieno campo,340.0,False,,
75.0,42.0,E42,Riso (granella),0.0,m,pieno campo,340.0,False,Oryza,sativa
76.0,43.0,E43,Riso (granella+paglia),0.0,m,pieno campo,340.0,False,Oryza,sativa
77.0,44.0,E44,Segale (granella),0.0,m,pieno campo,340.0,True,Secale,cereale
78.0,45.0,E45,Segale pianta intera,0.0,m,pieno campo,340.0,True,Secale,cereale
79.0,46.0,E46,Senape indiana,0.0,m,pieno campo,340.0,False,Brassica,juncea
80.0,47.0,E47,Soia (granella),90.0,m,pieno campo,0.0,True,Glicine,max
81.0,48.0,E48,Soia (pianta intera),90.0,m,pieno campo,0.0,True,Glicine,max
82.0,49.0,E49,Sorgo da foraggio,0.0,m,pieno campo,340.0,True,Sorghum,"bicolor,  ssp. sudanense"
83.0,50.0,E50,Sorgo da granella  (solo granella),0.0,m,pieno campo,340.0,True,Sorghum,"bicolor,  ssp. bicolor"
84.0,51.0,E51,Sorgo da granella (pianta intera),0.0,m,pieno campo,340.0,True,Sorghum,"bicolor,  ssp. bicolor"
85.0,52.0,E52,Tabacco Bright,0.0,m,pieno campo,340.0,False,,
86.0,53.0,E53,Tabacco Bright pianta intera,0.0,m,pieno campo,340.0,False,,
87.0,54.0,E54,Tabacco Burley,0.0,m,pieno campo,340.0,False,,
88.0,55.0,E55,Tabacco Burley pianta intera,0.0,m,pieno campo,340.0,False,,
89.0,56.0,E56,Triticale,0.0,m,pieno campo,340.0,True,Triticosecale,
90.0,57.0,E57,Triticale pianta intera,0.0,m,pieno campo,340.0,True,Triticosecale,
91.0,1.0,F1,Avena insilata,0.0,m,pieno campo,340.0,False,Avena,sativa
92.0,2.0,F2,Colza insilato,0.0,m,pieno campo,340.0,False,,
93.0,3.0,F3,Erba mazzolina,0.0,p,pieno campo,340.0,True,,
94.0,4.0,F4,Erba medica,100.0,p,pieno campo,0.0,False,Medicago,sativa
95.0,5.0,F5,Erbai aut prim. Di cer. O cruc.,0.0,m,pieno campo,340.0,True,,
96.0,6.0,F6,Erbai aut prim. Di leguminose,50.0,m,pieno campo,340.0,True,,
97.0,7.0,F7,Erbai biennali o Prati avv. di Graminacee,0.0,p,pieno campo,340.0,True,,
98.0,8.0,F8,Erbai biennali misti o Prati avv. Polifita,0.0,p,pieno campo,340.0,True,,
99.0,9.0,F9,Farro insilato,0.0,m,pieno campo,340.0,True,,
100.0,10.0,F10,Festuca arundinacea,0.0,p,pieno campo,340.0,True,,
101.0,11.0,F11,Fleolo (coda di topo),0.0,p,pieno campo,340.0,True,,
102.0,12.0,F12,Grano duro  insilato,0.0,m,pieno campo,340.0,True,,
103.0,13.0,F13,Grano tenero  insilato,0.0,m,pieno campo,340.0,True,,
104.0,14.0,F14,Loglio da insilare,0.0,m,pieno campo,340.0,True,,
105.0,15.0,F15,Loiessa,0.0,m,pieno campo,340.0,True,,
106.0,16.0,F16,Loietto perenne,0.0,p,pieno campo,340.0,True,,
107.0,17.0,F17,Orzo insilato,0.0,m,pieno campo,340.0,True,,
