ID_Rag,ID_Liv,ID_Sett,ID_N_org,efficiency_pct
1.0,3.0,avi,1.0,90.85
1.0,2.0,avi,1.0,65.55
1.0,1.0,avi,1.0,40.25
1.0,3.0,bov,1.0,67.14999999999999
1.0,2.0,bov,1.0,48.45
1.0,1.0,bov,1.0,29.75
1.0,3.0,sui,1.0,79.0
1.0,2.0,sui,1.0,57.0
1.0,1.0,sui,1.0,35.0
1.0,3.0,dig_tq,1.0,67.14999999999999
1.0,2.0,dig_tq,1.0,48.45
1.0,1.0,dig_tq,1.0,29.75
1.0,3.0,dig_sui,1.0,79.0
1.0,2.0,dig_sui,1.0,57.0
1.0,1.0,dig_sui,1.0,35.0
1.0,3.0,dig_avi,1.0,90.85
1.0,2.0,dig_avi,1.0,65.55
1.0,1.0,dig_avi,1.0,40.25
1.0,3.0,dig_chi,1.0,90.85
1.0,2.0,dig_chi,1.0,65.55
1.0,1.0,dig_chi,1.0,40.25
1.0,3.0,fanghi,1.0,67.14999999999999
1.0,2.0,fanghi,1.0,48.45
1.0,1.0,fanghi,1.0,29.75
1.0,3.0,avi,2.0,83.94999999999999
1.0,2.0,avi,2.0,60.95
1.0,1.0,avi,2.0,37.95
1.0,3.0,bov,2.0,62.05
1.0,2.0,bov,2.0,45.05
1.0,1.0,bov,2.0,28.05
1.0,3.0,sui,2.0,73.0
1.0,2.0,sui,2.0,53.0
1.0,1.0,sui,2.0,33.0
1.0,3.0,dig_tq,2.0,62.05
1.0,2.0,dig_tq,2.0,45.05
1.0,1.0,dig_tq,2.0,28.05
1.0,3.0,dig_sui,2.0,73.0
1.0,2.0,dig_sui,2.0,53.0
1.0,1.0,dig_sui,2.0,33.0
1.0,3.0,dig_avi,2.0,83.94999999999999
1.0,2.0,dig_avi,2.0,60.95
1.0,1.0,dig_avi,2.0,37.95
1.0,3.0,dig_chi,2.0,83.94999999999999
1.0,2.0,dig_chi,2.0,60.95
1.0,1.0,dig_chi,2.0,37.95
1.0,3.0,fanghi,2.0,62.05
1.0,2.0,fanghi,2.0,45.05
1.0,1.0,fanghi,2.0,28.05
1.0,3.0,avi,3.0,77.05
1.0,2.0,avi,3.0,55.2
1.0,1.0,avi,3.0,33.349999999999994
1.0,3.0,bov,3.0,56.95
1.0,2.0,bov,3.0,40.8
1.0,1.0,bov,3.0,24.65
1.0,3.0,sui,3.0,67.0
1.0,2.0,sui,3.0,48.0
1.0,1.0,sui,3.0,29.0
1.0,3.0,dig_tq,3.0,56.95
1.0,2.0,dig_tq,3.0,40.8
1.0,1.0,dig_tq,3.0,24.65
1.0,3.0,dig_sui,3.0,67.0
1.0,2.0,dig_sui,3.0,48.0
1.0,1.0,dig_sui,3.0,29.0
1.0,3.0,dig_avi,3.0,77.05
1.0,2.0,dig_avi,3.0,55.2
1.0,1.0,dig_avi,3.0,33.349999999999994
1.0,3.0,dig_chi,3.0,77.05
1.0,2.0,dig_chi,3.0,55.2
1.0,1.0,dig_chi,3.0,33.349999999999994
1.0,3.0,fanghi,3.0,56.95
1.0,2.0,fanghi,3.0,40.8
1.0,1.0,fanghi,3.0,24.65
2.0,3.0,avi,1.0,81.64999999999999
2.0,2.0,avi,1.0,59.8
2.0,1.0,avi,1.0,37.95
2.0,3.0,bov,1.0,60.35
2.0,2.0,bov,1.0,44.2
2.0,1.0,bov,1.0,28.05
2.0,3.0,sui,1.0,71.0
2.0,2.0,sui,1.0,52.0
2.0,1.0,sui,1.0,33.0
2.0,3.0,dig_tq,1.0,60.35
2.0,2.0,dig_tq,1.0,44.2
2.0,1.0,dig_tq,1.0,28.05
2.0,3.0,dig_sui,1.0,71.0
2.0,2.0,dig_sui,1.0,52.0
2.0,1.0,dig_sui,1.0,33.0
2.0,3.0,dig_avi,1.0,81.64999999999999
2.0,2.0,dig_avi,1.0,59.8
2.0,1.0,dig_avi,1.0,37.95
2.0,3.0,dig_chi,1.0,81.64999999999999
2.0,2.0,dig_chi,1.0,59.8
2.0,1.0,dig_chi,1.0,37.95
2.0,3.0,fanghi,1.0,60.35
2.0,2.0,fanghi,1.0,44.2
2.0,1.0,fanghi,1.0,28.05
2.0,3.0,avi,2.0,74.75
2.0,2.0,avi,2.0,55.2
2.0,1.0,avi,2.0,35.65
2.0,3.0,bov,2.0,55.25
2.0,2.0,bov,2.0,40.8
2.0,1.0,bov,2.0,26.35
2.0,3.0,sui,2.0,65.0
2.0,2.0,sui,2.0,48.0
2.0,1.0,sui,2.0,31.0
2.0,3.0,dig_tq,2.0,55.25
2.0,2.0,dig_tq,2.0,40.8
2.0,1.0,dig_tq,2.0,26.35
2.0,3.0,dig_sui,2.0,65.0
2.0,2.0,dig_sui,2.0,48.0
2.0,1.0,dig_sui,2.0,31.0
2.0,3.0,dig_avi,2.0,74.75
2.0,2.0,dig_avi,2.0,55.2
2.0,1.0,dig_avi,2.0,35.65
2.0,3.0,dig_chi,2.0,74.75
2.0,2.0,dig_chi,2.0,55.2
2.0,1.0,dig_chi,2.0,35.65
2.0,3.0,fanghi,2.0,55.25
2.0,2.0,fanghi,2.0,40.8
2.0,1.0,fanghi,2.0,26.35
2.0,3.0,avi,3.0,66.69999999999999
2.0,2.0,avi,3.0,49.45
2.0,1.0,avi,3.0,32.2
2.0,3.0,bov,3.0,49.3
2.0,2.0,bov,3.0,36.55
2.0,1.0,bov,3.0,23.8
2.0,3.0,sui,3.0,58.0
2.0,2.0,sui,3.0,43.0
2.0,1.0,sui,3.0,28.0
2.0,3.0,dig_tq,3.0,49.3
2.0,2.0,dig_tq,3.0,36.55
2.0,1.0,dig_tq,3.0,23.8
2.0,3.0,dig_sui,3.0,58.0
2.0,2.0,dig_sui,3.0,43.0
2.0,1.0,dig_sui,3.0,28.0
2.0,3.0,dig_avi,3.0,66.69999999999999
2.0,2.0,dig_avi,3.0,49.45
2.0,1.0,dig_avi,3.0,32.2
2.0,3.0,dig_chi,3.0,66.69999999999999
2.0,2.0,dig_chi,3.0,49.45
2.0,1.0,dig_chi,3.0,32.2
2.0,3.0,fanghi,3.0,49.3
2.0,2.0,fanghi,3.0,36.55
2.0,1.0,fanghi,3.0,23.8
3.0,3.0,avi,1.0,72.44999999999999
3.0,2.0,avi,1.0,52.9
3.0,1.0,avi,1.0,33.349999999999994
3.0,3.0,bov,1.0,53.55
3.0,2.0,bov,1.0,39.1
3.0,1.0,bov,1.0,24.65
3.0,3.0,sui,1.0,63.0
3.0,2.0,sui,1.0,46.0
3.0,1.0,sui,1.0,29.0
3.0,3.0,dig_tq,1.0,53.55
3.0,2.0,dig_tq,1.0,39.1
3.0,1.0,dig_tq,1.0,24.65
3.0,3.0,dig_sui,1.0,63.0
3.0,2.0,dig_sui,1.0,46.0
3.0,1.0,dig_sui,1.0,29.0
3.0,3.0,dig_avi,1.0,72.44999999999999
3.0,2.0,dig_avi,1.0,52.9
3.0,1.0,dig_avi,1.0,33.349999999999994
3.0,3.0,dig_chi,1.0,72.44999999999999
3.0,2.0,dig_chi,1.0,52.9
3.0,1.0,dig_chi,1.0,33.349999999999994
3.0,3.0,fanghi,1.0,53.55
3.0,2.0,fanghi,1.0,39.1
3.0,1.0,fanghi,1.0,24.65
3.0,3.0,avi,2.0,65.55
3.0,2.0,avi,2.0,48.3
3.0,1.0,avi,2.0,32.2
3.0,3.0,bov,2.0,48.45
3.0,2.0,bov,2.0,35.7
3.0,1.0,bov,2.0,23.8
3.0,3.0,sui,2.0,57.0
3.0,2.0,sui,2.0,42.0
3.0,1.0,sui,2.0,28.0
3.0,3.0,dig_tq,2.0,48.45
3.0,2.0,dig_tq,2.0,35.7
3.0,1.0,dig_tq,2.0,23.8
3.0,3.0,dig_sui,2.0,57.0
3.0,2.0,dig_sui,2.0,42.0
3.0,1.0,dig_sui,2.0,28.0
3.0,3.0,dig_avi,2.0,65.55
3.0,2.0,dig_avi,2.0,48.3
3.0,1.0,dig_avi,2.0,32.2
3.0,3.0,dig_chi,2.0,65.55
3.0,2.0,dig_chi,2.0,48.3
3.0,1.0,dig_chi,2.0,32.2
3.0,3.0,fanghi,2.0,48.45
3.0,2.0,fanghi,2.0,35.7
3.0,1.0,fanghi,2.0,23.8
3.0,3.0,avi,3.0,57.49999999999999
3.0,2.0,avi,3.0,43.7
3.0,1.0,avi,3.0,28.75
3.0,3.0,bov,3.0,42.5
3.0,2.0,bov,3.0,32.3
3.0,1.0,bov,3.0,21.25
3.0,3.0,sui,3.0,50.0
3.0,2.0,sui,3.0,38.0
3.0,1.0,sui,3.0,25.0
3.0,3.0,dig_tq,3.0,42.5
3.0,2.0,dig_tq,3.0,32.3
3.0,1.0,dig_tq,3.0,21.25
3.0,3.0,dig_sui,3.0,50.0
3.0,2.0,dig_sui,3.0,38.0
3.0,1.0,dig_sui,3.0,25.0
3.0,3.0,dig_avi,3.0,57.49999999999999
3.0,2.0,dig_avi,3.0,43.7
3.0,1.0,dig_avi,3.0,28.75
3.0,3.0,dig_chi,3.0,57.49999999999999
3.0,2.0,dig_chi,3.0,43.7
3.0,1.0,dig_chi,3.0,28.75
3.0,3.0,fanghi,3.0,42.5
3.0,2.0,fanghi,3.0,32.3
3.0,1.0,fanghi,3.0,21.25
1.0,2.0,3,4.0,5.0
2.0,2.0,com,1.0,
2.0,3.0,bov,3.0,49.3
2.0,2.0,nn,1.0,
