ID_Gri_K,group,min_K_ppm,max_K_ppm,min_K2O_ppm,max_K2O_ppm,rating,ID_Dot_K
1.0,Sabbiosi,0.0,40.0,0.0,48.0,molto bassa,1.0
2.0,Sabbiosi,40.0,80.0,48.0,96.0,bassa,2.0
3.0,Sabbiosi,80.0,120.0,96.0,144.0,media,3.0
4.0,Sabbiosi,120.0,999.0,144.0,1198.8,elevata,4.0
5.0,Medio impasto,0.0,60.0,0.0,72.0,molto bassa,1.0
6.0,Medio impasto,60.0,100.0,72.0,120.0,bassa,2.0
7.0,Medio impasto,100.0,150.0,120.0,180.0,media,3.0
8.0,Medio impasto,150.0,999.0,180.0,1198.8,elevata,4.0
9.0,Argillosi e limosi,0.0,80.0,0.0,96.0,molto bassa,1.0
10.0,Argillosi e limosi,80.0,120.0,96.0,144.0,bassa,2.0
11.0,Argillosi e limosi,120.0,180.0,144.0,216.0,media,3.0
12.0,Argillosi e limosi,180.0,999.0,216.0,1198.8,elevata,4.0
