ID_min,fertilizer,N,P2O5,K2O
1,Nessuno,0.0,0.0,0.0
2,Acido fosforico 85%,0.0,61.0,0.0
3,"AGRESTE  ORG.MIN. 7,5/12/21",7.5,12.0,21.0
4,AGROFERT MB   ORG.MIN. 10/5/15 +2+16,10.0,5.0,15.0
5,"AGROFERT MBS   O.MIN. 9,5/5/14,5+2+24",9.5,5.0,14.5
6,"AZO TOP   18,5/0/0",18.5,0.0,0.0
7,"AZO TOP   18,5/0/0 +32",18.5,0.0,0.0
8,Azogold 40 N + 12 SO3,40.0,0.0,0.0
9,Azoplus 35 N + 22 SO3,35.0,0.0,0.0
10,BELFRUTTO MB   5/10/15 +5+16,5.0,10.0,15.0
11,BELFRUTTO MBS KG 25   ORG.MIN. 6/10/15 +2+16,6.0,10.0,15.0
12,Calcicianamide oleata,20.0,0.0,0.0
13,Calciocianamide granulare,19.0,0.0,0.0
14,Calciocianamide in polvere,20.0,0.0,0.0
15,CALCIOCIANAMIDE POLV.,19.0,0.0,0.0
16,Cloruro di potassio,0.0,0.0,60.0
17,FERROUMATO,5.0,0.0,0.0
18,"FERTIL AGRESTE START KG 50   10/12/7 + 2+12+0,02",10.0,12.0,7.0
19,"FERTIL MBS   9/14/13 + 2+16+7,6",9.0,14.0,13.0
20,Fosfato biammonico 18-46,18.0,46.0,0.0
21,Fosfato biammonico 21-52,21.0,52.0,0.0
22,Fosfato monoammonico 12-61,12.0,61.0,0.0
23,Fosfato monopotassico 0-52-34,0.0,52.0,34.0
24,Fosfato naturale tenero 0-27-0,0.0,27.0,0.0
25,FOSTATO MONOAMM MULTI MAP,12.0,61.0,0.0
26,FOSTATO MONOPOT MULTI MKP,0.0,52.0,34.0
27,"GEOMAG MCR   0,2+5+0,5+0,5",0.0,0.0,0.0
28,HUMOFOS   3/15/0 +16+8,3.0,15.0,0.0
29,HUMOFOS TOP   3/15/0 +16+8,3.0,15.0,0.0
30,MAGNISOL (NITR.MAGNESIO liquido) 6-0-0 +9 Mg0,6.0,0.0,0.0
31,MULTI-PEPTON  Hi- Agri (FERTIRRIGAZ),7.5,0.027,0.9
32,MULTI-UP 17/44/0 urea fosfato,17.0,44.0,0.0
33,N. AMMONICO 26% PRIL,26.0,0.0,0.0
34,N. AMMONICO 27%,27.0,0.0,0.0
35,N. AMMONICO 27% GRAN,27.0,0.0,0.0
36,"N. AMMONICO 34,3%",34.3,0.0,0.0
37,N. CALCIO ,15.5,0.0,0.0
38,N. CALCIO MULTICAL FG (FERTIRRIGAZIO),15.5,0.0,0.0
39,N. CALCIO MULTICAL FG (FERTIRRIGAZIO)(DIR),15.5,0.0,0.0
40,N. CALCIO MULTICAL SOL (FERTIRRIGAZ),8.5,0.0,0.0
