crop_id,phase,low_yield_below,red_N_yield,red_N_prev_amendment,red_N_excessive_vigor,red_N_high_SOM,red_N_very_high_SOM,red_N_after_alfalfa_meadow,red_N_after_legume,red_N_3rd_cycle,red_P2O5_yield,red_P2O5_prev_amendment,red_P2O5_high_SOM,red_P2O5_3rd_cycle,red_P2O5_localized,red_K2O_yield,red_K2O_prev_amendment,red_K2O_high_SOM,red_K2O_3rd_cycle,red_K2O_straw_burial
A2,nd,20.0,30.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
Ab2,nd,25.0,30.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
A4,nd,10.0,25.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0
A5,nd,16.0,25.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0
A6,nd,,,,,,,,,,,,,,,,,,,
A8,nd,24.0,15.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,25.0,30.0,0.0,0.0,0.0
A10,nd,,,,,,,,,,,,,,,,,,,
A12,nd,7.0,15.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,20.0,30.0,0.0,0.0,0.0
A14,nd,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,50.0,30.0,0.0,0.0,0.0
A15,nd,60.0,25.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,25.0,30.0,0.0,0.0,0.0
A16,nd,,,,,,,,,,,,,,,,,,,
A17,nd,20.0,30.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0
A18,nd,24.0,15.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,25.0,30.0,0.0,0.0,0.0
A19,nd,12.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0
A20,nd,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,50.0,30.0,0.0,0.0,0.0
A21,nd,,,,,,,,,,,,,,,,,,,
A22,nd,32.0,30.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,35.0,30.0,0.0,0.0,0.0
A23,nd,13.0,40.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,50.0,0.0,40.0,0.0,0.0
A24,nd,,,,,,,,,,,,,,,,,,,
A25,nd,,,,,,,,,,,,,,,,,,,
A26,nd,20.0,35.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,40.0,30.0,0.0,0.0,0.0
A27,nd,,,,,,,,,,,,,,,,,,,
A28,nd,3.2,15.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
A29,nd,3.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,20.0,30.0,0.0,0.0,0.0
A30,nd,24.0,25.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,25.0,30.0,0.0,0.0,0.0
A31,nd,35.0,25.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,25.0,30.0,0.0,0.0,0.0
A32,nd,20.0,35.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,40.0,30.0,0.0,0.0,0.0
A33,nd,,,,,,,,,,,,,,,,,,,
A34,nd,,,,,,,,,,,,,,,,,,,
A35,nd,20.0,25.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,20.0,30.0,0.0,0.0,0.0
A36,nd,20.0,40.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,35.0,30.0,0.0,0.0,0.0
A37,nd,8.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0
A38,nd,16.0,25.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,50.0,30.0,0.0,0.0,0.0
E1,nd,,,,,,,,,,,,,,,,,,,
E2,nd,2.5,20.0,20.0,0.0,15.0,0.0,80.0,40.0,0.0,12.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
E3,nd,2.5,20.0,20.0,0.0,15.0,0.0,80.0,40.0,0.0,12.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,50.0
E4,nd,60.0,30.0,20.0,0.0,20.0,0.0,80.0,40.0,0.0,20.0,20.0,0.0,0.0,0.0,25.0,20.0,0.0,0.0,0.0
E5,nd,40.0,30.0,20.0,0.0,20.0,0.0,80.0,40.0,0.0,20.0,20.0,0.0,0.0,0.0,25.0,20.0,0.0,0.0,0.0
E6,nd,,,,,,,,,,,,,,,,,,,
E7,nd,,,,,,,,,,,,,,,,,,,
E8,nd,1.6,10.0,20.0,0.0,15.0,0.0,15.0,15.0,0.0,20.0,10.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0
E9,nd,1.7,20.0,20.0,0.0,15.0,0.0,80.0,40.0,0.0,10.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
E10,nd,1.7,20.0,20.0,0.0,15.0,0.0,80.0,40.0,0.0,10.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
E11,nd,1.5,15.0,20.0,0.0,15.0,15.0,40.0,40.0,0.0,10.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
E12,nd,1.5,15.0,20.0,0.0,15.0,0.0,80.0,40.0,0.0,10.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
E13,nd,1.6,10.0,20.0,0.0,15.0,0.0,40.0,15.0,0.0,20.0,10.0,0.0,0.0,0.0,20.0,30.0,0.0,0.0,0.0
E14,nd,2.4,25.0,20.0,0.0,15.0,0.0,80.0,40.0,0.0,10.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
E15,nd,2.4,25.0,20.0,0.0,15.0,0.0,80.0,40.0,0.0,10.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
E16,nd,5.0,25.0,20.0,0.0,15.0,0.0,80.0,40.0,0.0,15.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
E17,nd,5.0,25.0,20.0,0.0,15.0,0.0,80.0,40.0,0.0,15.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
E18,nd,5.0,30.0,20.0,0.0,15.0,0.0,80.0,40.0,0.0,15.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,60.0
E19,nd,5.0,30.0,20.0,0.0,15.0,0.0,80.0,40.0,0.0,15.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,60.0
E20,nd,5.0,30.0,20.0,0.0,15.0,0.0,80.0,40.0,0.0,15.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,60.0
E21,nd,5.0,30.0,20.0,0.0,15.0,0.0,80.0,40.0,0.0,15.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,60.0
E22,nd,5.0,30.0,20.0,0.0,15.0,0.0,80.0,40.0,0.0,15.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,60.0
E23,nd,5.0,30.0,20.0,0.0,15.0,0.0,80.0,40.0,0.0,15.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,60.0
E24,nd,,,,,,,,,,,,,,,,,,,
E25,nd,,,,,,,,,,,,,,,,,,,
E26,nd,,,,,,,,,,,,,,,,,,,
E27,nd,,,,,,,,,,,,,,,,,,,
E28,nd,5.5,30.0,20.0,0.0,15.0,0.0,80.0,40.0,0.0,15.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
E29,nd,5.5,30.0,20.0,0.0,15.0,0.0,80.0,40.0,0.0,15.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
E30,nd,10.0,30.0,20.0,0.0,15.0,0.0,80.0,40.0,0.0,15.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
E31,nd,10.0,30.0,20.0,0.0,15.0,0.0,80.0,40.0,0.0,15.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
E32,nd,13.0,20.0,20.0,0.0,15.0,0.0,15.0,15.0,0.0,30.0,10.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0
E33,nd,13.0,20.0,20.0,0.0,15.0,0.0,15.0,15.0,0.0,30.0,10.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0
E34,nd,36.0,30.0,20.0,0.0,15.0,0.0,80.0,40.0,0.0,15.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
E35,nd,55.0,30.0,20.0,0.0,15.0,0.0,80.0,40.0,0.0,15.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
E36,nd,5.2,25.0,20.0,0.0,15.0,0.0,80.0,40.0,0.0,15.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
E37,nd,5.2,25.0,20.0,0.0,15.0,0.0,80.0,40.0,0.0,15.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
E38,nd,,,,,,,,,,,,,,,,,,,
E39,nd,4.0,10.0,15.0,10.0,15.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
E40,nd,4.0,10.0,15.0,10.0,15.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
E41,nd,,,,,,,,,,,,,,,,,,,
E42,nd,5.6,25.0,20.0,0.0,15.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
E43,nd,5.6,25.0,20.0,0.0,15.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
E44,nd,3.0,30.0,20.0,0.0,15.0,15.0,80.0,40.0,0.0,12.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
E45,nd,3.0,30.0,20.0,0.0,15.0,15.0,80.0,40.0,0.0,12.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
E46,nd,,,,,,,,,,,,,,,,,,,
E47,nd,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
E48,nd,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
E49,nd,,,20.0,,,,,,,,,,,,,,,,
E50,nd,6.0,25.0,20.0,0.0,15.0,0.0,80.0,40.0,0.0,15.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
E51,nd,6.0,25.0,20.0,0.0,15.0,0.0,80.0,40.0,0.0,15.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
E52,nd,,,,,,,,,,,,,,,,,,,
E53,nd,,,,,,,,,,,,,,,,,,,
E54,nd,,,,,,,,,,,,,,,,,,,
E55,nd,,,,,,,,,,,,,,,,,,,
E56,nd,6.5,30.0,20.0,0.0,15.0,15.0,80.0,40.0,0.0,12.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
E57,nd,6.5,30.0,20.0,0.0,15.0,15.0,80.0,40.0,0.0,12.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
F1,nd,,,,,,,,,,,,,,,,,,,
F2,nd,,,,,,,,,,,,,,,,,,,
F3,nd,11.0,40.0,20.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
F4,nd,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
F5,nd,,,,,,,,,,,,,,,,,,,
F6,nd,,,,,,,,,,,,,,,,,,,
F7,nd,,,,,,,,,,,,,,,,,,,
F8,nd,,,,,,,,,,,,,,,,,,,
F9,nd,,,,,,,,,,,,,,,,,,,
F10,nd,11.0,40.0,20.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
F11,nd,,,,,,,,,,,,,,,,,,,
F12,nd,,,,,,,,,,,,,,,,,,,
F13,nd,,,,,,,,,,,,,,,,,,,
F14,nd,,,,,,,,,,,,,,,,,,,
F15,nd,,,,,,,,,,,,,,,,,,,
F16,nd,,,,,,,,,,,,,,,,,,,
F17,nd,,,,,,,,,,,,,,,,,,,
F18,nd,,,,,,,,,,,,,,,,,,,
F19,nd,,,,,,,,,,,,,,,,,,,
F20,nd,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
F21,nd,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
F22,nd,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
F23,nd,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
F24,nd,,,,,,,,,,,,,,,,,,,
F25,nd,,,,,,,,,,,,,,,,,,,
F26,nd,7.0,30.0,20.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0
F27,nd,10.4,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
F28,nd,,,,,,,,,,,,,,,,,,,
F29,nd,,,,,,,,,,,,,,,,,,,
F30,nd,,,,,,,,,,,,,,,,,,,
O1,nd,7.0,25.0,20.0,0.0,15.0,0.0,15.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
O2,nd,7.0,25.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0
O3,nd,9.0,25.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0
O4,nd,16.0,30.0,20.0,0.0,20.0,0.0,20.0,20.0,0.0,15.0,15.0,0.0,0.0,0.0,15.0,30.0,0.0,0.0,0.0
O5,nd,50.0,0.0,20.0,0.0,20.0,0.0,20.0,20.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O6,nd,20.0,20.0,0.0,0.0,20.0,0.0,20.0,20.0,0.0,10.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
O7,nd,20.0,0.0,0.0,0.0,20.0,0.0,20.0,20.0,0.0,10.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
O8,nd,20.0,0.0,20.0,0.0,20.0,0.0,20.0,20.0,0.0,10.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
O9,nd,30.0,0.0,20.0,0.0,20.0,0.0,20.0,20.0,0.0,10.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
O10,nd,,,,,,,,,,,,,,,,,,,
O11,nd,16.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0,20.0,30.0,0.0,0.0,0.0
O12,nd,30.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0,20.0,30.0,0.0,0.0,0.0
O13,nd,22.0,25.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0
O14,nd,45.0,25.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0
O15,nd,12.0,30.0,20.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,10.0,0.0,0.0,10.0,0.0,30.0,0.0,0.0
O16,nd,24.0,20.0,20.0,0.0,15.0,0.0,15.0,15.0,0.0,20.0,10.0,0.0,0.0,0.0,40.0,10.0,0.0,0.0,0.0
O17,nd,30.0,20.0,20.0,0.0,15.0,0.0,15.0,15.0,0.0,20.0,10.0,0.0,0.0,0.0,40.0,10.0,0.0,0.0,0.0
O18,nd,40.0,20.0,20.0,0.0,15.0,0.0,15.0,15.0,0.0,30.0,10.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0
O19,nd,28.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0
O20,nd,40.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0
O21,nd,19.0,25.0,20.0,0.0,20.0,0.0,0.0,15.0,0.0,15.0,10.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0
O22,nd,40.0,25.0,20.0,0.0,20.0,0.0,0.0,15.0,0.0,15.0,10.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0
O23,nd,16.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0,20.0,30.0,0.0,0.0,0.0
