crop_id,phase,high_yield_above,inc_N_yield,inc_N_low_SOM,inc_N_low_vigor,inc_N_grassed,inc_N_rain_surplus,inc_N_straw_burial,inc_N_adverse_climate,inc_N_compacted_no_till,inc_N_higher_demand,inc_N_high_density,inc_N_grasses,inc_N_dual_season,inc_N_max,inc_P2O5_yield,inc_P2O5_low_SOM,inc_P2O5_early_sowing,inc_P2O5_continuous_crop,inc_P2O5_high_active_carbonate,inc_P2O5_dual_season,inc_P2O5_max,inc_K2O_yield,inc_K2O_unfertilised_or_late_cv,inc_K2O_low_SOM,inc_K2O_dual_season,inc_K2O_storage_industrial_cv,inc_K2O_max
A2,nd,30.0,30.0,20.0,20.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,10.0,20.0,0.0,0.0,30.0,0.0,60.0,30.0,0.0,0.0,0.0,0.0,30.0
Ab2,nd,35.0,30.0,20.0,20.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,10.0,20.0,0.0,0.0,30.0,0.0,60.0,30.0,0.0,0.0,0.0,0.0,30.0
A4,nd,16.0,25.0,20.0,20.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,10.0,10.0,0.0,0.0,20.0,0.0,40.0,30.0,0.0,0.0,0.0,0.0,30.0
A5,nd,20.0,25.0,20.0,20.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,10.0,10.0,0.0,0.0,20.0,0.0,40.0,30.0,0.0,0.0,0.0,0.0,30.0
A6,nd,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
A8,nd,36.0,15.0,20.0,20.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,10.0,10.0,0.0,0.0,20.0,0.0,40.0,25.0,0.0,0.0,0.0,0.0,25.0
A10,nd,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
A12,nd,11.0,15.0,20.0,20.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,10.0,10.0,0.0,0.0,20.0,0.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0
A14,nd,30.0,20.0,20.0,20.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,10.0,10.0,0.0,0.0,10.0,0.0,30.0,50.0,0.0,0.0,0.0,0.0,50.0
A15,nd,60.0,25.0,20.0,20.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,10.0,10.0,0.0,0.0,20.0,0.0,40.0,25.0,0.0,0.0,0.0,0.0,25.0
A16,nd,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
A17,nd,30.0,30.0,20.0,20.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,10.0,10.0,0.0,0.0,0.0,0.0,20.0,30.0,0.0,0.0,0.0,0.0,30.0
A18,nd,36.0,15.0,20.0,20.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,10.0,10.0,0.0,0.0,20.0,0.0,40.0,25.0,0.0,0.0,0.0,0.0,25.0
A19,nd,16.0,20.0,20.0,20.0,20.0,15.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,40.0,20.0,10.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,30.0
A20,nd,30.0,20.0,20.0,20.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,10.0,10.0,0.0,0.0,10.0,0.0,30.0,50.0,0.0,0.0,0.0,0.0,50.0
A21,nd,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
A22,nd,48.0,30.0,20.0,20.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,10.0,10.0,0.0,0.0,20.0,0.0,40.0,35.0,0.0,0.0,0.0,0.0,35.0
A23,nd,22.0,20.0,20.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,10.0,0.0,0.0,20.0,0.0,40.0,30.0,0.0,0.0,0.0,0.0,30.0
A24,nd,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
A25,nd,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
A26,nd,30.0,35.0,20.0,20.0,0.0,15.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,50.0,15.0,10.0,0.0,0.0,20.0,0.0,45.0,40.0,20.0,0.0,0.0,0.0,60.0
A27,nd,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
A28,nd,4.8,15.0,20.0,20.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,10.0,10.0,0.0,0.0,20.0,0.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0
A29,nd,5.0,20.0,20.0,20.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,10.0,0.0,0.0,20.0,0.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0
