crop_id,phase,N_1st_husbandry_year,N_2nd_husbandry_year,inc_N_start_production,P2O5_1st_husbandry_year,P2O5_2nd_husbandry_year,inc_P2O5_start_production,K2O_1st_husbandry_year,K2O_2nd_husbandry_year,inc_K2O_start_production,multi_cuts,standard_N_base,note1,increment_per_cut,note2,K2O_normal_base,K2O_low_base,K2O_high_base,K2O_very_low_base,inc_cut_K2O_normal,inc_cut_K2O_low,inc_cut_K2O_high,inc_cut_K2O_very_low
A2,nd,55.0,85.0,0.0,15.0,25.0,0.0,20.0,40.0,0.0,no,,,,,,,,,,,,
Ab2,nd,55.0,85.0,0.0,15.0,25.0,0.0,20.0,40.0,0.0,no,,,,,,,,,,,,
A4,nd,40.0,60.0,0.0,15.0,25.0,0.0,20.0,40.0,0.0,no,,,,,,,,,,,,
A5,nd,40.0,60.0,0.0,15.0,25.0,0.0,20.0,40.0,0.0,no,,,,,,,,,,,,
A6,nd,,,,,,,,,,no,,,,,,,,,,,,
A8,nd,,,,,,,,,,no,,,,,,,,,,,,
A10,nd,,,,,,,,,,no,,,,,,,,,,,,
A12,nd,30.0,50.0,0.0,15.0,25.0,0.0,20.0,40.0,0.0,no,,,,,,,,,,,,
A14,nd,,,,,,,,,,no,,,,,,,,,,,,
A15,nd,40.0,60.0,20.0,15.0,25.0,0.0,20.0,40.0,20.0,no,,,,,,,,,,,,
A16,nd,,,,,,,,,,no,,,,,,,,,,,,
A17,nd,25.0,40.0,0.0,15.0,20.0,0.0,20.0,40.0,0.0,no,,,,,,,,,,,,
A18,nd,,,,,,,,,,no,,,,,,,,,,,,
A19,nd,80.0,80.0,0.0,30.0,30.0,0.0,60.0,60.0,0.0,no,,,,,,,,,,,,
A20,nd,,,,,,,,,,no,,,,,,,,,,,,
A21,nd,,,,,,,,,,no,,,,,,,,,,,,
A22,nd,40.0,60.0,20.0,15.0,25.0,15.0,20.0,40.0,50.0,no,,,,,,,,,,,,
A23,nd,50.0,65.0,0.0,20.0,25.0,0.0,50.0,65.0,0.0,no,,,,,,,,,,,,
A24,nd,,,,,,,,,,no,,,,,,,,,,,,
A25,nd,,,,,,,,,,no,,,,,,,,,,,,
A26,nd,40.0,60.0,0.0,15.0,25.0,0.0,20.0,40.0,0.0,no,,,,,,,,,,,,
A27,nd,,,,,,,,,,no,,,,,,,,,,,,
A28,nd,30.0,50.0,0.0,20.0,30.0,0.0,20.0,40.0,0.0,no,,,,,,,,,,,,
A29,nd,30.0,50.0,0.0,15.0,25.0,0.0,20.0,40.0,0.0,no,,,,,,,,,,,,
A30,nd,40.0,60.0,20.0,15.0,25.0,0.0,20.0,40.0,20.0,no,,,,,,,,,,,,
A31,nd,40.0,60.0,20.0,15.0,25.0,0.0,20.0,40.0,20.0,no,,,,,,,,,,,,
A32,nd,40.0,60.0,0.0,15.0,25.0,0.0,20.0,40.0,0.0,no,,,,,,,,,,,,
A33,nd,,,,,,,,,,no,,,,,,,,,,,,
A34,nd,,,,,,,,,,no,,,,,,,,,,,,
A35,nd,40.0,60.0,0.0,15.0,25.0,0.0,20.0,40.0,0.0,no,,,,,,,,,,,,
A36,nd,,,,,,,,,,no,,,,,,,,,,,,
A37,nd,30.0,50.0,0.0,15.0,25.0,0.0,20.0,40.0,0.0,no,,,,,,,,,,,,
A38,nd,40.0,60.0,0.0,15.0,25.0,0.0,20.0,40.0,0.0,no,,,,,,,,,,,,
E1,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E2,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E3,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E4,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E5,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E6,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E7,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E8,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E9,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E10,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E11,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E12,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E13,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E14,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E15,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E16,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E17,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E18,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E19,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E20,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E21,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E22,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E23,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E24,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E25,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E26,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E27,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E28,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E29,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E30,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E31,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E32,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
E33,nd,0.0,0.0,,0.0,0.0,,0.0,0.0,,no,,,,,,,,,,,,
