id,crop_id,crop,phase,standard_yield,standard_N,P2O5_normal,P2O5_low,P2O5_high,P2O5_very_low,K2O_normal,K2O_low,K2O_high,K2O_very_low
1.0,A2,"Actinidia polpa verde frutti, legno e foglie",nd,25.0,120.0,50.0,100.0,20.0,100.0,130.0,200.0,75.0,200.0
2.0,Ab2,"Actinidia polpa gialla frutti, legno e foglie",nd,30.0,150.0,60.0,110.0,30.0,110.0,145.0,215.0,90.0,215.0
3.0,A4,"Albicocco media produzione frutti, legno e foglie",nd,13.0,75.0,30.0,40.0,15.0,80.0,90.0,120.0,35.0,120.0
4.0,A5,"Albicocco  alta produzione frutti, legno e foglie",nd,18.0,100.0,40.0,50.0,25.0,80.0,100.0,130.0,50.0,130.0
5.0,A6,"Altri fruttiferi frutti, legno e foglie",nd,,,,,,,,,,
6.0,A8,"Arancio frutti, legno e foglie",nd,30.0,120.0,60.0,100.0,20.0,100.0,100.0,120.0,50.0,120.0
7.0,A10,Castagno solo frutti,nd,,,,,,,,,,
8.0,A12,"Ciliegio frutti, legno e foglie",nd,9.0,70.0,30.0,40.0,15.0,60.0,50.0,80.0,20.0,80.0
9.0,A14,"Clementine frutti, legno e foglie",nd,25.0,140.0,60.0,100.0,20.0,100.0,100.0,120.0,50.0,120.0
10.0,A15,"Cotogno (frutti, legno e foglie)",nd,60.0,130.0,30.0,60.0,10.0,60.0,100.0,150.0,50.0,150.0
11.0,A16,"Fico frutti, legno e foglie",nd,,,,,,,,,,
12.0,A17,"Kaki frutti, legno e foglie",nd,25.0,60.0,30.0,60.0,10.0,60.0,75.0,100.0,30.0,100.0
13.0,A18,"Limone frutti, legno e foglie",nd,30.0,120.0,60.0,100.0,20.0,100.0,100.0,120.0,50.0,120.0
14.0,A19,Luppolo (verde),nd,14.0,120.0,60.0,80.0,40.0,100.0,100.0,140.0,70.0,140.0
15.0,A20,"Mandarino frutti, legno e foglie",nd,25.0,140.0,60.0,100.0,20.0,100.0,100.0,120.0,50.0,120.0
16.0,A21,"Mandorlo frutti, legno e foglie",nd,,,,,,,,,,
17.0,A22,"Melo frutti, legno e foglie",nd,40.0,80.0,40.0,55.0,35.0,55.0,90.0,150.0,50.0,150.0
18.0,A23,Mirtillo,nd,17.5,125.0,45.0,45.0,45.0,45.0,120.0,120.0,120.0,120.0
19.0,A24,"Nashi frutti, legno e foglie",nd,,,,,,,,,,
20.0,A25,"Nespolo frutti, legno e foglie",nd,,,,,,,,,,
21.0,A26,"Nettarine frutti, legno e foglie",nd,25.0,100.0,40.0,60.0,20.0,100.0,100.0,150.0,50.0,150.0
22.0,A27,"Nocciolo frutti, legno e foglie",nd,,,,,,,,,,
23.0,A28,"Noce da frutto frutti, legno e foglie",nd,4.0,90.0,40.0,60.0,20.0,80.0,60.0,100.0,20.0,100.0
24.0,A29,"Olivo olive, legno e foglie",nd,4.0,70.0,40.0,100.0,20.0,130.0,60.0,120.0,40.0,120.0
25.0,A30,"Pero media produzione frutti, legno e foglie",nd,30.0,90.0,30.0,60.0,10.0,60.0,100.0,150.0,50.0,150.0
26.0,A31,"Pero alta produzione frutti, legno e foglie",nd,40.0,120.0,30.0,60.0,10.0,60.0,120.0,170.0,70.0,170.0
